id_client,age,genre,situation_matrimoniale,nb_personnes_charge,secteur_activite,anciennete_activite_annees,revenu_mensuel_gnf,membre_tontine,possede_mobile_money,membre_association_marchands,nb_credits_anterieurs,a_deja_eu_retard,jours_retard_max_anterieur,garant_disponible,score_bureau_credit,montant_pret_demande_gnf,duree_pret_mois,ratio_pret_revenu,defaut_paiement
MAD-00022,30,Femme,Marié(e),3,Cosmétiques,12.2,9279000,Oui,Non,Non,2,0,0,Non,553,5281000,12,0.57,0
MAD-00023,51,Homme,Marié(e),2,Vêtements,6.9,1417000,Oui,Oui,Oui,1,0,0,Non,511,300000,12,0.21,0
MAD-00024,36,Homme,Divorcé(e),2,Tissus_Pagnes,24.3,2576000,Oui,Oui,Non,1,1,8,Oui,624,300000,3,0.12,0
MAD-00025,33,Homme,Marié(e),2,Divers,2.7,4424000,Non,Oui,Non,3,0,0,Oui,466,1777000,12,0.4,0
MAD-00026,34,Femme,Marié(e),1,Tissus_Pagnes,0.8,2328000,Oui,Oui,Oui,3,1,74,Oui,466,300000,3,0.13,0
MAD-00027,43,Femme,Marié(e),0,Quincaillerie,1.2,4785000,Non,Oui,Oui,0,0,0,Non,381,3780000,12,0.79,1
MAD-00028,42,Femme,Marié(e),1,Électronique_Téléphonie,0.2,3321000,Oui,Non,Non,0,0,0,Oui,694,2864000,12,0.86,1
MAD-00029,42,Femme,Célibataire,4,Vêtements,4.0,7170000,Non,Oui,Non,2,0,0,Oui,703,2853000,12,0.4,0
MAD-00030,42,Femme,Marié(e),3,Chaussures,10.3,5558000,Oui,Oui,Oui,1,0,0,Oui,627,643000,3,0.12,0
MAD-00031,61,Femme,Marié(e),2,Cosmétiques,3.2,5398000,Non,Oui,Non,2,1,55,Oui,682,4150000,9,0.77,0
MAD-00032,33,Femme,Veuf(ve),3,Chaussures,10.1,2661000,Non,Oui,Oui,4,0,0,Oui,721,1612000,6,0.61,0
MAD-00033,32,Femme,Divorcé(e),3,Vêtements,5.0,2954000,Oui,Oui,Non,0,0,0,Oui,663,2386000,9,0.81,1
MAD-00034,29,Homme,Célibataire,5,Alimentation,1.7,2552000,Oui,Oui,Non,0,0,0,Oui,609,1052000,24,0.41,0
MAD-00035,44,Femme,Divorcé(e),1,Alimentation,3.7,1403000,Oui,Non,Non,2,1,19,Oui,560,371000,3,0.26,0
MAD-00036,50,Femme,Divorcé(e),0,Cosmétiques,0.3,6655000,Oui,Oui,Non,4,0,0,Oui,670,6270000,9,0.94,1
MAD-00037,36,Homme,Marié(e),2,Chaussures,1.3,4496000,Non,Non,Non,4,1,69,Oui,483,430000,6,0.1,0
MAD-00038,28,Homme,Célibataire,1,Chaussures,12.3,2816000,Oui,Non,Non,1,0,0,Oui,669,2164000,9,0.77,0
MAD-00039,28,Homme,Célibataire,3,Cosmétiques,10.0,6362000,Non,Oui,Oui,1,1,41,Non,594,3662000,9,0.58,0
MAD-00040,45,Homme,Marié(e),5,Alimentation,14.6,2529000,Oui,Oui,Oui,0,1,43,Oui,534,1142000,9,0.45,0
MAD-00041,46,Homme,Marié(e),5,Alimentation,7.1,1289000,Non,Non,Non,0,1,79,Oui,580,943000,12,0.73,1
MAD-00042,43,Femme,Marié(e),4,Électronique_Téléphonie,1.4,5190000,Oui,Non,Oui,2,0,0,Non,599,8646000,24,1.67,1
MAD-00043,30,Femme,Célibataire,4,Tissus_Pagnes,24.4,2196000,Oui,Oui,Oui,1,1,32,Non,573,3450000,18,1.57,0
MAD-00044,40,Femme,Célibataire,1,Électronique_Téléphonie,0.8,2680000,Oui,Non,Non,1,0,0,Non,532,5530000,24,2.06,0
MAD-00045,39,Femme,Célibataire,1,Alimentation,3.1,3406000,Non,Oui,Non,3,1,64,Non,479,422000,6,0.12,1
MAD-00046,40,Homme,Marié(e),2,Vêtements,0.4,3668000,Oui,Oui,Oui,1,1,64,Oui,718,3708000,24,1.01,1
MAD-00047,47,Femme,Marié(e),4,Quincaillerie,4.0,4837000,Non,Oui,Oui,1,0,0,Oui,518,1761000,6,0.36,1
MAD-00048,40,Femme,Marié(e),3,Alimentation,0.7,4092000,Oui,Oui,Oui,2,1,15,Oui,636,1199000,3,0.29,1
MAD-00049,45,Femme,Marié(e),3,Alimentation,1.7,4054000,Non,Oui,Oui,1,1,15,Oui,536,304000,9,0.07,0
MAD-00050,38,Femme,Divorcé(e),1,Cosmétiques,9.4,2197000,Non,Oui,Oui,2,1,22,Non,367,568000,6,0.26,0
MAD-00051,41,Femme,Divorcé(e),4,Cosmétiques,2.1,3541000,Oui,Oui,Non,1,0,0,Non,670,856000,12,0.24,0
MAD-00052,44,Femme,Divorcé(e),5,Divers,0.1,1295000,Non,Non,Non,0,1,43,Non,485,300000,3,0.23,1
MAD-00053,21,Homme,Divorcé(e),0,Quincaillerie,7.2,7200000,Oui,Oui,Oui,2,0,0,Non,648,5377000,9,0.75,0
MAD-00054,34,Femme,Veuf(ve),2,Chaussures,3.1,1461000,Non,Oui,Oui,1,1,35,Non,636,395000,6,0.27,0
MAD-00055,32,Homme,Marié(e),3,Alimentation,1.6,2493000,Oui,Oui,Non,2,0,0,Oui,641,300000,6,0.12,0
MAD-00056,30,Homme,Marié(e),0,Tissus_Pagnes,4.4,1564000,Non,Oui,Oui,1,0,0,Non,629,1531000,18,0.98,0
MAD-00057,34,Femme,Marié(e),3,Quincaillerie,3.3,2079000,Oui,Oui,Oui,2,0,0,Oui,541,2044000,9,0.98,1
MAD-00058,54,Femme,Marié(e),2,Tissus_Pagnes,10.2,3286000,Oui,Oui,Oui,1,0,0,Oui,683,300000,6,0.09,0
MAD-00059,28,Homme,Marié(e),5,Divers,6.1,2395000,Non,Oui,Non,1,0,0,Oui,582,2059000,12,0.86,0
MAD-00060,48,Femme,Marié(e),5,Cosmétiques,3.0,5640000,Oui,Non,Oui,0,1,77,Non,324,9901000,18,1.76,1
MAD-00061,19,Homme,Veuf(ve),3,Alimentation,0.8,3375000,Oui,Oui,Oui,3,1,75,Non,581,1734000,9,0.51,1
MAD-00062,34,Femme,Marié(e),3,Tissus_Pagnes,1.6,2341000,Oui,Oui,Non,2,0,0,Oui,721,1496000,6,0.64,0
MAD-00063,39,Femme,Veuf(ve),1,Chaussures,4.6,2886000,Non,Non,Non,1,1,19,Non,704,2898000,24,1.0,0
MAD-00064,44,Homme,Célibataire,1,Alimentation,9.0,6055000,Oui,Oui,Non,0,0,0,Oui,815,3433000,6,0.57,0
MAD-00065,45,Femme,Célibataire,1,Vêtements,7.6,5104000,Oui,Oui,Non,1,0,0,Non,689,2713000,6,0.53,0
MAD-00066,46,Femme,Célibataire,7,Chaussures,3.7,1692000,Non,Oui,Non,2,0,0,Oui,646,300000,3,0.18,0
MAD-00067,34,Homme,Marié(e),3,Alimentation,10.3,2343000,Non,Oui,Oui,1,0,0,Oui,698,300000,3,0.13,0
MAD-00068,32,Femme,Célibataire,0,Vêtements,2.1,3904000,Oui,Oui,Oui,2,0,0,Oui,540,3119000,24,0.8,0
MAD-00069,47,Femme,Marié(e),3,Chaussures,0.5,3607000,Oui,Non,Oui,2,0,0,Non,469,721000,24,0.2,0
MAD-00070,35,Femme,Veuf(ve),4,Chaussures,9.8,1954000,Oui,Oui,Oui,1,0,0,Non,577,1287000,9,0.66,1
MAD-00071,23,Femme,Marié(e),1,Tissus_Pagnes,8.7,4727000,Non,Non,Oui,0,0,0,Oui,714,3982000,12,0.84,1
MAD-00072,25,Homme,Marié(e),5,Divers,1.3,1851000,Oui,Oui,Oui,1,1,51,Oui,484,2010000,18,1.09,1
MAD-00073,27,Homme,Célibataire,5,Quincaillerie,1.6,6107000,Oui,Oui,Non,3,0,0,Oui,661,3038000,9,0.5,0
MAD-00074,43,Femme,Célibataire,0,Tissus_Pagnes,16.5,4453000,Oui,Oui,Non,2,1,28,Non,629,4931000,12,1.11,0
MAD-00075,39,Homme,Marié(e),3,Alimentation,8.7,1848000,Oui,Oui,Oui,0,1,30,Oui,596,2917000,24,1.58,0
MAD-00076,45,Femme,Célibataire,4,Chaussures,2.1,2274000,Oui,Oui,Non,2,1,49,Non,431,607000,6,0.27,1
MAD-00077,33,Femme,Marié(e),2,Vêtements,1.6,2238000,Non,Oui,Oui,0,0,0,Oui,630,416000,3,0.19,0
MAD-00078,39,Femme,Célibataire,6,Électronique_Téléphonie,17.2,3746000,Oui,Oui,Non,2,0,0,Oui,582,4923000,12,1.31,0
MAD-00079,44,Homme,Marié(e),2,Cosmétiques,7.9,2881000,Oui,Oui,Non,2,1,60,Non,683,2554000,12,0.89,0
MAD-00080,34,Femme,Marié(e),1,Vêtements,0.7,1596000,Non,Oui,Oui,3,1,1,Non,700,465000,6,0.29,0
MAD-00081,43,Femme,Marié(e),3,Tissus_Pagnes,0.6,1392000,Oui,Oui,Oui,1,1,19,Oui,556,478000,6,0.34,0
MAD-00082,30,Femme,Marié(e),2,Tissus_Pagnes,3.7,4112000,Oui,Oui,Non,1,0,0,Oui,778,3450000,12,0.84,0
MAD-00083,34,Homme,Marié(e),3,Quincaillerie,8.1,3705000,Oui,Oui,Non,0,0,0,Oui,650,1594000,9,0.43,0
MAD-00084,33,Femme,Marié(e),3,Alimentation,5.1,3288000,Non,Oui,Non,0,0,0,Oui,449,2698000,18,0.82,0
MAD-00085,24,Femme,Marié(e),3,Quincaillerie,3.1,3526000,Oui,Oui,Oui,2,0,0,Oui,612,3684000,18,1.04,0
MAD-00086,43,Homme,Marié(e),3,Alimentation,10.8,2429000,Non,Oui,Oui,1,1,48,Non,675,2105000,9,0.87,0
MAD-00087,32,Femme,Marié(e),3,Chaussures,5.3,3432000,Oui,Oui,Oui,0,0,0,Oui,546,3217000,12,0.94,0
MAD-00088,38,Femme,Marié(e),3,Quincaillerie,8.4,12201000,Oui,Oui,Non,1,0,0,Oui,613,7042000,12,0.58,0
MAD-00089,43,Femme,Célibataire,4,Vêtements,0.2,5649000,Oui,Oui,Oui,2,0,0,Oui,497,1357000,3,0.24,0
MAD-00090,42,Femme,Veuf(ve),3,Alimentation,8.3,2773000,Oui,Non,Oui,0,0,0,Oui,511,1461000,9,0.53,0
MAD-00091,45,Femme,Marié(e),3,Électronique_Téléphonie,11.1,2551000,Oui,Non,Non,1,0,0,Oui,544,1537000,9,0.6,0
MAD-00092,36,Homme,Divorcé(e),4,Électronique_Téléphonie,15.4,1075000,Non,Oui,Non,2,0,0,Non,489,1251000,18,1.16,0
MAD-00093,33,Femme,Marié(e),3,Vêtements,3.3,5423000,Oui,Oui,Oui,2,0,0,Oui,564,813000,18,0.15,0
MAD-00094,37,Homme,Marié(e),3,Tissus_Pagnes,10.0,4859000,Oui,Oui,Non,2,0,0,Non,776,300000,3,0.06,0
MAD-00095,19,Homme,Célibataire,5,Électronique_Téléphonie,1.0,2223000,Non,Oui,Non,1,1,7,Oui,586,2561000,18,1.15,1
MAD-00096,22,Femme,Célibataire,4,Alimentation,9.4,1628000,Oui,Oui,Non,0,0,0,Oui,690,723000,12,0.44,0
MAD-00097,23,Femme,Divorcé(e),2,Cosmétiques,0.6,1585000,Oui,Oui,Oui,0,0,0,Oui,718,300000,3,0.19,0
MAD-00098,27,Homme,Marié(e),4,Tissus_Pagnes,13.6,4185000,Oui,Oui,Non,2,1,4,Non,514,949000,6,0.23,0
MAD-00099,42,Femme,Célibataire,5,Alimentation,9.8,3110000,Oui,Oui,Oui,0,0,0,Oui,545,4560000,18,1.47,0
MAD-00100,28,Homme,Marié(e),3,Électronique_Téléphonie,0.8,4351000,Non,Oui,Non,1,0,0,Non,668,1756000,6,0.4,0
MAD-00101,33,Homme,Marié(e),3,Vêtements,1.8,3156000,Non,Oui,Non,0,0,0,Oui,542,2940000,12,0.93,0
MAD-00102,52,Femme,Marié(e),5,Quincaillerie,0.3,5043000,Oui,Non,Non,0,1,45,Non,615,3162000,9,0.63,1
MAD-00103,34,Femme,Veuf(ve),3,Cosmétiques,7.4,3847000,Non,Non,Non,2,0,0,Oui,750,1224000,9,0.32,0
MAD-00104,46,Femme,Marié(e),1,Tissus_Pagnes,13.9,5083000,Oui,Oui,Non,1,1,4,Oui,483,3557000,9,0.7,1
MAD-00105,27,Femme,Divorcé(e),8,Tissus_Pagnes,6.5,1132000,Non,Non,Oui,1,0,0,Non,567,743000,9,0.66,1
MAD-00106,35,Femme,Célibataire,3,Vêtements,2.0,1560000,Non,Non,Oui,3,0,0,Oui,582,1556000,18,1.0,0
MAD-00107,27,Femme,Célibataire,2,Électronique_Téléphonie,3.8,2535000,Oui,Oui,Oui,2,0,0,Oui,572,1364000,9,0.54,0
MAD-00108,34,Homme,Célibataire,2,Cosmétiques,17.8,5890000,Oui,Oui,Non,1,1,7,Non,554,2762000,6,0.47,0
MAD-00109,47,Homme,Divorcé(e),2,Chaussures,12.3,8690000,Non,Non,Oui,1,0,0,Non,555,3097000,9,0.36,0
MAD-00110,18,Homme,Marié(e),1,Tissus_Pagnes,9.6,2990000,Oui,Oui,Non,1,0,0,Non,618,3069000,12,1.03,0
MAD-00111,42,Femme,Marié(e),2,Vêtements,9.6,2401000,Oui,Oui,Non,2,1,38,Oui,577,1566000,9,0.65,0
MAD-00112,40,Femme,Célibataire,2,Alimentation,35.0,2059000,Non,Oui,Non,1,0,0,Oui,685,1443000,12,0.7,0
MAD-00113,31,Femme,Marié(e),4,Chaussures,2.1,4819000,Oui,Oui,Oui,1,0,0,Oui,617,2794000,6,0.58,0
MAD-00114,22,Femme,Marié(e),4,Vêtements,10.1,2489000,Oui,Oui,Non,1,0,0,Oui,720,582000,9,0.23,0
MAD-00115,38,Homme,Marié(e),2,Tissus_Pagnes,0.9,15080000,Oui,Non,Non,1,0,0,Oui,566,12711000,18,0.84,0
MAD-00116,32,Femme,Marié(e),2,Tissus_Pagnes,2.8,2054000,Non,Oui,Non,2,0,0,Oui,491,763000,9,0.37,0
MAD-00117,40,Femme,Marié(e),2,Tissus_Pagnes,3.6,9524000,Oui,Oui,Non,1,1,43,Oui,528,7690000,12,0.81,0
MAD-00118,38,Homme,Marié(e),4,Chaussures,1.2,4500000,Oui,Oui,Oui,1,0,0,Oui,661,4746000,12,1.05,0
MAD-00119,55,Femme,Divorcé(e),2,Cosmétiques,5.0,1830000,Oui,Oui,Oui,3,0,0,Oui,697,741000,12,0.4,0
MAD-00120,35,Femme,Marié(e),4,Divers,7.0,3571000,Oui,Oui,Non,0,0,0,Oui,751,3020000,6,0.85,0
MAD-00121,26,Femme,Veuf(ve),0,Alimentation,8.0,4761000,Non,Oui,Non,1,0,0,Oui,626,2386000,12,0.5,0
MAD-00122,39,Femme,Veuf(ve),5,Cosmétiques,10.5,2928000,Oui,Oui,Non,2,0,0,Oui,687,1775000,9,0.61,0
MAD-00123,40,Homme,Marié(e),3,Alimentation,4.4,4822000,Non,Oui,Non,2,0,0,Non,723,1690000,6,0.35,0
MAD-00124,52,Femme,Célibataire,3,Électronique_Téléphonie,5.0,4783000,Oui,Non,Non,2,0,0,Oui,549,2561000,9,0.54,0
MAD-00125,47,Homme,Célibataire,7,Cosmétiques,1.5,4151000,Non,Non,Non,4,0,0,Oui,581,1439000,9,0.35,0
MAD-00126,41,Homme,Célibataire,2,Tissus_Pagnes,16.3,3420000,Oui,Oui,Non,1,0,0,Non,850,872000,3,0.25,0
MAD-00127,54,Homme,Marié(e),0,Électronique_Téléphonie,2.7,1631000,Non,Oui,Non,4,0,0,Oui,677,724000,12,0.44,0
MAD-00128,24,Femme,Marié(e),1,Tissus_Pagnes,0.5,2851000,Oui,Oui,Oui,4,0,0,Oui,665,362000,9,0.13,0
MAD-00129,30,Femme,Marié(e),4,Vêtements,3.6,3367000,Non,Non,Oui,3,1,88,Non,548,306000,3,0.09,0
MAD-00130,27,Homme,Célibataire,3,Tissus_Pagnes,5.3,1213000,Oui,Non,Oui,0,0,0,Non,499,688000,6,0.57,0
MAD-00131,33,Femme,Veuf(ve),2,Alimentation,17.4,3768000,Oui,Oui,Oui,3,0,0,Non,561,4051000,12,1.08,0
MAD-00132,22,Femme,Célibataire,3,Quincaillerie,1.4,2847000,Oui,Non,Non,0,1,76,Non,414,300000,9,0.11,0
MAD-00133,44,Homme,Célibataire,4,Chaussures,5.9,1627000,Oui,Oui,Non,4,0,0,Non,657,1536000,12,0.94,0
MAD-00134,35,Femme,Veuf(ve),4,Chaussures,3.6,2571000,Oui,Oui,Oui,1,1,33,Oui,537,300000,9,0.12,0
MAD-00135,21,Homme,Célibataire,1,Électronique_Téléphonie,0.7,2513000,Non,Oui,Oui,2,0,0,Oui,608,2608000,18,1.04,0
MAD-00136,26,Homme,Marié(e),1,Électronique_Téléphonie,4.1,8674000,Non,Oui,Non,2,0,0,Oui,572,732000,3,0.08,0
MAD-00137,41,Homme,Divorcé(e),3,Tissus_Pagnes,0.4,3351000,Oui,Oui,Non,0,0,0,Oui,473,3241000,12,0.97,0
MAD-00138,47,Femme,Marié(e),2,Alimentation,8.1,5472000,Non,Oui,Non,3,0,0,Non,679,2370000,6,0.43,0
MAD-00139,59,Homme,Marié(e),2,Vêtements,0.6,2790000,Oui,Non,Oui,1,1,21,Oui,429,1386000,6,0.5,0
MAD-00140,70,Femme,Marié(e),4,Quincaillerie,4.0,1175000,Oui,Non,Oui,1,0,0,Non,554,1437000,24,1.22,0
MAD-00141,42,Homme,Veuf(ve),2,Quincaillerie,3.3,4380000,Non,Oui,Non,1,1,8,Oui,469,4222000,18,0.96,0
MAD-00142,27,Homme,Marié(e),2,Chaussures,19.2,2636000,Oui,Oui,Non,0,1,48,Oui,468,330000,6,0.13,0
MAD-00143,18,Homme,Marié(e),5,Alimentation,3.9,2576000,Oui,Oui,Non,1,0,0,Non,638,300000,3,0.12,0
MAD-00144,40,Femme,Marié(e),3,Alimentation,2.0,1718000,Oui,Oui,Non,1,0,0,Oui,731,2537000,18,1.48,0
MAD-00145,29,Femme,Marié(e),7,Électronique_Téléphonie,6.8,3283000,Oui,Non,Oui,3,1,40,Oui,419,1330000,6,0.41,1
MAD-00146,33,Femme,Marié(e),0,Alimentation,0.7,5335000,Oui,Oui,Oui,3,1,84,Oui,443,7803000,24,1.46,1
MAD-00147,31,Femme,Célibataire,3,Cosmétiques,3.2,5037000,Oui,Oui,Oui,0,0,0,Oui,462,2717000,6,0.54,1
MAD-00148,36,Femme,Divorcé(e),3,Vêtements,2.1,7140000,Oui,Non,Oui,1,1,13,Oui,546,1660000,9,0.23,0
MAD-00149,49,Femme,Marié(e),4,Vêtements,35.0,8701000,Non,Oui,Oui,2,0,0,Non,606,1993000,3,0.23,0
MAD-00150,39,Femme,Marié(e),2,Cosmétiques,1.3,999000,Non,Oui,Oui,3,1,5,Non,661,300000,9,0.3,0
MAD-00151,36,Homme,Marié(e),3,Divers,18.3,2083000,Oui,Oui,Oui,2,0,0,Non,429,1191000,6,0.57,0
MAD-00152,26,Homme,Marié(e),2,Chaussures,1.0,1124000,Oui,Non,Non,1,0,0,Non,669,728000,9,0.65,0
MAD-00153,19,Femme,Célibataire,4,Tissus_Pagnes,3.0,4277000,Oui,Non,Oui,1,0,0,Non,532,6347000,18,1.48,0
MAD-00154,32,Homme,Célibataire,1,Tissus_Pagnes,1.2,2056000,Oui,Oui,Non,1,0,0,Oui,510,503000,6,0.24,1
MAD-00155,37,Femme,Célibataire,3,Quincaillerie,7.7,2491000,Oui,Oui,Oui,1,0,0,Non,626,3374000,12,1.35,0
MAD-00156,57,Femme,Marié(e),0,Cosmétiques,10.4,2938000,Non,Oui,Oui,1,0,0,Non,656,1909000,6,0.65,0
MAD-00157,39,Femme,Célibataire,4,Tissus_Pagnes,1.6,3699000,Non,Oui,Oui,3,1,33,Oui,541,3067000,12,0.83,0
MAD-00158,48,Homme,Marié(e),6,Chaussures,6.4,1499000,Oui,Oui,Oui,2,0,0,Oui,521,789000,6,0.53,0
MAD-00159,32,Homme,Marié(e),2,Vêtements,7.2,1696000,Non,Oui,Oui,4,0,0,Non,590,1034000,12,0.61,0
MAD-00160,24,Homme,Veuf(ve),1,Alimentation,3.4,3062000,Non,Oui,Non,0,0,0,Non,534,978000,12,0.32,0
MAD-00161,27,Homme,Célibataire,0,Électronique_Téléphonie,5.8,5893000,Non,Oui,Non,3,0,0,Non,654,8298000,18,1.41,0
MAD-00162,30,Homme,Veuf(ve),3,Cosmétiques,3.8,3031000,Oui,Oui,Oui,1,0,0,Oui,716,1929000,18,0.64,0
MAD-00163,61,Femme,Divorcé(e),3,Alimentation,13.6,2322000,Non,Oui,Oui,2,0,0,Non,691,1269000,6,0.55,0
MAD-00164,28,Femme,Célibataire,4,Vêtements,2.0,968000,Non,Oui,Oui,1,1,26,Oui,559,300000,3,0.31,0
MAD-00165,47,Femme,Veuf(ve),4,Divers,1.0,5025000,Oui,Oui,Non,2,1,33,Non,671,968000,3,0.19,0
MAD-00166,28,Homme,Marié(e),1,Cosmétiques,7.2,2189000,Non,Oui,Oui,3,1,53,Non,428,1650000,12,0.75,1
MAD-00167,48,Femme,Marié(e),1,Cosmétiques,4.3,1703000,Non,Oui,Oui,4,1,81,Non,638,849000,6,0.5,0
MAD-00168,42,Femme,Marié(e),4,Alimentation,8.0,1391000,Oui,Oui,Non,0,1,22,Non,494,1632000,18,1.17,0
MAD-00169,36,Homme,Marié(e),1,Divers,1.1,1373000,Oui,Oui,Non,0,1,58,Oui,350,1589000,24,1.16,1
MAD-00170,37,Femme,Marié(e),1,Quincaillerie,4.3,1872000,Oui,Oui,Non,2,0,0,Non,742,300000,3,0.16,0
MAD-00171,30,Homme,Marié(e),5,Tissus_Pagnes,0.2,2600000,Non,Oui,Oui,2,1,71,Non,429,1284000,6,0.49,0
MAD-00172,42,Femme,Célibataire,6,Vêtements,3.0,1611000,Oui,Oui,Oui,2,0,0,Oui,630,979000,9,0.61,0
MAD-00173,32,Homme,Célibataire,1,Chaussures,3.2,3372000,Oui,Oui,Oui,1,0,0,Oui,527,3861000,9,1.15,0
MAD-00174,24,Homme,Célibataire,2,Électronique_Téléphonie,3.8,2697000,Oui,Oui,Non,4,0,0,Non,832,1358000,9,0.5,0
MAD-00175,23,Femme,Marié(e),0,Électronique_Téléphonie,7.1,10253000,Non,Oui,Non,2,0,0,Oui,763,4053000,6,0.4,0
MAD-00176,39,Homme,Célibataire,1,Divers,0.0,1158000,Non,Oui,Oui,1,0,0,Oui,739,1386000,18,1.2,0
MAD-00177,55,Femme,Marié(e),1,Cosmétiques,25.5,3998000,Oui,Oui,Non,0,0,0,Non,627,3579000,12,0.9,0
MAD-00178,39,Femme,Marié(e),4,Vêtements,4.9,3402000,Oui,Non,Non,2,0,0,Oui,708,697000,6,0.2,0
MAD-00179,36,Femme,Marié(e),2,Tissus_Pagnes,15.9,2155000,Oui,Oui,Non,2,1,16,Oui,591,365000,3,0.17,0
MAD-00180,41,Homme,Marié(e),1,Électronique_Téléphonie,2.4,3189000,Oui,Non,Oui,2,0,0,Non,720,3024000,12,0.95,1
MAD-00181,52,Femme,Marié(e),2,Vêtements,1.3,4556000,Non,Oui,Oui,1,0,0,Oui,563,684000,3,0.15,1
MAD-00182,40,Femme,Divorcé(e),1,Vêtements,1.3,3158000,Oui,Non,Oui,1,0,0,Non,762,4439000,18,1.41,0
MAD-00183,33,Homme,Célibataire,2,Chaussures,8.6,6592000,Non,Non,Non,4,0,0,Oui,558,3604000,9,0.55,0
MAD-00184,50,Femme,Célibataire,1,Tissus_Pagnes,1.1,926000,Non,Oui,Oui,0,1,68,Non,466,1520000,24,1.64,1
MAD-00185,42,Femme,Marié(e),6,Électronique_Téléphonie,8.8,2125000,Non,Oui,Oui,2,0,0,Oui,558,2221000,12,1.05,0
MAD-00186,54,Femme,Divorcé(e),1,Alimentation,0.2,6664000,Oui,Oui,Non,0,0,0,Non,637,6315000,18,0.95,1
MAD-00187,40,Femme,Célibataire,2,Vêtements,7.0,5095000,Oui,Oui,Non,2,1,79,Non,466,1347000,12,0.26,1
MAD-00188,24,Homme,Marié(e),2,Vêtements,0.6,4000000,Oui,Oui,Non,2,0,0,Non,663,1860000,9,0.46,0
MAD-00189,22,Femme,Célibataire,3,Chaussures,6.8,6032000,Non,Non,Non,2,0,0,Oui,556,1364000,6,0.23,0
MAD-00190,56,Femme,Marié(e),2,Chaussures,0.5,1046000,Non,Oui,Non,1,0,0,Oui,671,300000,12,0.29,0
MAD-00191,56,Homme,Marié(e),5,Tissus_Pagnes,0.6,4600000,Non,Non,Non,0,0,0,Oui,736,2305000,9,0.5,0
